team,division
Abilene Christian,fcs
Air Force,fbs
Akron,fbs
Alabama,fbs
Alabama A&M,fcs
Alabama State,fcs
Alcorn State,fcs
App State,fbs
Arizona,fbs
Arizona State,fbs
Arkansas,fbs
Arkansas State,fbs
Arkansas-Pine Bluff,fcs
Army,fbs
Auburn,fbs
Austin Peay,fcs
BYU,fbs
Ball State,fbs
Baylor,fbs
Bethune-Cookman,fcs
Boise State,fbs
Boston College,fbs
Bowling Green,fbs
Brown,fcs
Bryant,fcs
Bucknell,fcs
Buffalo,fbs
Butler,fcs
Cal Poly,fcs
California,fbs
Campbell,fcs
Central Arkansas,fcs
Central Connecticut,fcs
Central Michigan,fbs
Charleston Southern,fcs
Charlotte,fbs
Chattanooga,fcs
Cincinnati,fbs
Clemson,fbs
Coastal Carolina,fbs
Colgate,fcs
Colorado,fbs
Colorado State,fbs
Columbia,fcs
Cornell,fcs
Dartmouth,fcs
Davidson,fcs
Dayton,fcs
Delaware,fcs
Delaware State,fcs
Drake,fcs
Duke,fbs
Duquesne,fcs
East Carolina,fbs
East Tennessee State,fcs
East Texas A&M,fcs
Eastern Illinois,fcs
Eastern Kentucky,fcs
Eastern Michigan,fbs
Eastern Washington,fcs
Elon,fcs
Florida,fbs
Florida A&M,fcs
Florida Atlantic,fbs
Florida International,fbs
Florida State,fbs
Fordham,fcs
Fresno State,fbs
Furman,fcs
Gardner-Webb,fcs
Georgetown,fcs
Georgia,fbs
Georgia Southern,fbs
Georgia State,fbs
Georgia Tech,fbs
Grambling,fcs
Hampton,fcs
Harvard,fcs
Hawai'i,fbs
Holy Cross,fcs
Houston,fbs
Houston Christian,fcs
Howard,fcs
Idaho,fcs
Idaho State,fcs
Illinois,fbs
Illinois State,fcs
Incarnate Word,fcs
Indiana,fbs
Indiana State,fcs
Iowa,fbs
Iowa State,fbs
Jackson State,fcs
Jacksonville State,fcs
James Madison,fbs
Kansas,fbs
Kansas State,fbs
Kennesaw State,fcs
Kent State,fbs
Kentucky,fbs
LSU,fbs
Lafayette,fcs
Lamar,fcs
Lehigh,fcs
Liberty,fbs
Lindenwood,fcs
Long Island University,fcs
Louisiana,fbs
Louisiana Tech,fbs
Louisville,fbs
Maine,fcs
Marist,fcs
Marshall,fbs
Maryland,fbs
Massachusetts,fbs
McNeese,fcs
Memphis,fbs
Mercer,fcs
Merrimack,fcs
Miami,fbs
Miami (OH),fbs
Michigan,fbs
Michigan State,fbs
Middle Tennessee,fbs
Minnesota,fbs
Mississippi State,fbs
Mississippi Valley State,fcs
Missouri,fbs
Missouri State,fcs
Monmouth,fcs
Montana,fcs
Montana State,fcs
Morehead State,fcs
Morgan State,fcs
Murray State,fcs
NC State,fbs
Navy,fbs
Nebraska,fbs
Nevada,fbs
New Hampshire,fcs
New Mexico,fbs
New Mexico State,fbs
Nicholls,fcs
Norfolk State,fcs
North Alabama,fcs
North Carolina,fbs
North Carolina A&T,fcs
North Carolina Central,fcs
North Dakota,fcs
North Dakota State,fcs
North Texas,fbs
Northern Arizona,fcs
Northern Colorado,fcs
Northern Illinois,fbs
Northern Iowa,fcs
Northwestern,fbs
Northwestern State,fcs
Notre Dame,fbs
Ohio,fbs
Ohio State,fbs
Oklahoma,fbs
Oklahoma State,fbs
Old Dominion,fbs
Ole Miss,fbs
Oregon,fbs
Oregon State,fbs
Penn State,fbs
Pennsylvania,fcs
Pittsburgh,fbs
Portland State,fcs
Prairie View A&M,fcs
Presbyterian,fcs
Princeton,fcs
Purdue,fbs
Rhode Island,fcs
Rice,fbs
Richmond,fcs
Robert Morris,fcs
Rutgers,fbs
SE Louisiana,fcs
SMU,fbs
Sacramento State,fcs
Sacred Heart,fcs
Saint Francis,fcs
Sam Houston,fcs
Samford,fcs
San Diego,fcs
San Diego State,fbs
San José State,fbs
South Alabama,fbs
South Carolina,fbs
South Carolina State,fcs
South Dakota,fcs
South Dakota State,fcs
South Florida,fbs
Southeast Missouri State,fcs
Southern,fcs
Southern Illinois,fcs
Southern Miss,fbs
Southern Utah,fcs
St. Thomas (MN),fcs
Stanford,fbs
Stephen F. Austin,fcs
Stetson,fcs
Stonehill,fcs
Stony Brook,fcs
Syracuse,fbs
TCU,fbs
Tarleton State,fcs
Temple,fbs
Tennessee,fbs
Tennessee State,fcs
Tennessee Tech,fcs
Texas,fbs
Texas A&M,fbs
Texas Southern,fcs
Texas State,fbs
Texas Tech,fbs
The Citadel,fcs
Toledo,fbs
Towson,fcs
Troy,fbs
Tulane,fbs
Tulsa,fbs
UAB,fbs
UAlbany,fcs
UC Davis,fcs
UCF,fbs
UCLA,fbs
UConn,fbs
UL Monroe,fbs
UNLV,fbs
USC,fbs
UT Martin,fcs
UTEP,fbs
UTSA,fbs
Utah,fbs
Utah State,fbs
Utah Tech,fcs
VMI,fcs
Valparaiso,fcs
Vanderbilt,fbs
Villanova,fcs
Virginia,fbs
Virginia Tech,fbs
Wagner,fcs
Wake Forest,fbs
Washington,fbs
Washington State,fbs
Weber State,fcs
West Virginia,fbs
Western Carolina,fcs
Western Illinois,fcs
Western Kentucky,fbs
Western Michigan,fbs
William & Mary,fcs
Wisconsin,fbs
Wofford,fcs
Wyoming,fbs
Yale,fcs
Youngstown State,fcs
