game_id,week,home_team,away_team,home_points,away_points,home_drives,away_drives,neutral
401426532,1,Western Kentucky,Austin Peay,38,27,14,13,False
401405059,1,Northwestern,Nebraska,31,28,14,14,True
401413213,1,Jacksonville State,Stephen F. Austin,42,17,10,12,True
401413256,1,UNLV,Idaho State,52,21,11,11,False
401405058,1,Illinois,Wyoming,38,6,14,13,False
401404146,1,Utah State,UConn,31,20,14,14,False
401411090,1,Florida State,Duquesne,47,7,10,11,False
401422922,1,Mercer,Morehead State,63,13,12,14,False
401426530,1,Florida Atlantic,Charlotte,43,13,11,11,False
401423448,1,Alabama State,Howard,23,13,10,11,True
401411091,1,North Carolina,Florida A&M,56,24,12,12,False
401426531,1,UTEP,North Texas,13,31,10,11,False
401409235,1,New Mexico State,Nevada,12,23,11,11,False
401403853,1,Hawai'i,Vanderbilt,10,63,15,13,False
401428480,1,Wagner,Fordham,31,48,14,16,False
401418776,1,Indiana State,North Alabama,17,14,14,16,False
401416568,1,Akron,Saint Francis,30,23,13,13,False
401421137,1,Campbell,The Citadel,29,10,9,9,False
401424414,1,Stony Brook,Rhode Island,14,35,10,10,False
401415610,1,UCF,South Carolina State,56,10,13,8,False
401426533,1,Florida International,Bryant,38,37,12,11,False
401441990,1,Toledo,Long Island University,37,0,14,15,False
401416569,1,Oklahoma State,Central Michigan,58,44,17,17,False
401432239,1,Gardner-Webb,Limestone,56,21,13,11,False
401411092,1,Pittsburgh,West Virginia,38,31,13,14,False
401421156,1,Furman,North Greenville,52,0,12,12,False
401418645,1,Samford,Kennesaw State,27,17,11,10,False
401403864,1,Tennessee,Ball State,59,10,14,13,False
401424402,1,New Hampshire,Monmouth,31,21,11,13,False
401420840,1,UT Martin,Western Illinois,42,25,14,15,False
401411093,1,Wake Forest,VMI,44,10,13,14,False
401425510,1,East Tennessee State,Mars Hill,44,7,15,16,False
401426534,1,UAB,Alabama A&M,59,0,11,13,False
401418782,1,Abilene Christian,Lamar,28,14,13,11,False
401431610,1,Weber State,Western Oregon,41,5,14,14,False
401416592,1,Northern Illinois,Eastern Illinois,34,27,10,10,False
401420806,1,Central Arkansas,Missouri State,14,27,13,12,False
401420877,1,Southern Utah,St. Thomas (MN),44,13,14,13,False
401421125,1,East Texas A&M,Lincoln (CA),52,7,12,15,False
401405064,1,Purdue,Penn State,31,35,14,14,False
401426537,1,Missouri,Louisiana Tech,52,24,15,16,False
401405060,1,Minnesota,New Mexico State,38,0,8,8,False
