away,home,cls,kick,model,market,edge,side,dir,spread_size,neutral,playable,flag,date,actual_home,actual_away,actual_margin,result
Louisiana Tech,LSU,FBS,19:30,-7.1,-35.25,28.2,Louisiana Tech,DOG,35.25,False,False,INFO-GAP,2026-09-12,,,,
San Diego State,UCLA,FBS,19:15,11.4,-12.75,24.1,San Diego State,DOG,12.75,False,True,,2026-09-12,,,,
New Haven,South Dakota State,fcs-only,19:00,-22.6,-43.5,20.9,New Haven,DOG,43.5,False,True,BLIND-SPOT thin-data,2026-09-12,,,,
Southern Miss,Auburn,FBS,19:45,-14.4,-32.75,18.3,Southern Miss,DOG,32.75,False,True,,2026-09-12,,,,
San Diego,Idaho State,fcs-only,18:00,-7.6,-25.5,17.9,San Diego,DOG,25.5,False,True,,2026-09-12,,,,
Ohio State,Texas,FBS,19:30,15.3,-1.5,16.8,Ohio State,DOG,1.5,False,True,,2026-09-12,,,,
North Alabama,SE Louisiana,fcs-only,19:00,-22.5,-6.5,-16.0,SE Louisiana,FAV,6.5,False,True,,2026-09-12,,,,
Bowling Green,Nebraska,FBS,19:00,-15.3,-30.25,14.9,Bowling Green,DOG,30.25,False,True,BLIND-SPOT,2026-09-12,,,,
Illinois State,Northern Illinois,FCS,19:00,-10.3,3.25,-13.6,Northern Illinois,DOG,3.25,False,True,BLIND-SPOT,2026-09-12,,,,
West Georgia,Arkansas State,FCS,19:00,-19.4,-31.5,12.1,West Georgia,DOG,31.5,False,True,,2026-09-12,,,,
Georgia State,Kennesaw State,FBS,19:00,-19.8,-8.25,-11.6,Kennesaw State,FAV,8.25,False,True,BLIND-SPOT,2026-09-12,,,,
Prairie View A&M,Baylor,FCS,20:08,-26.1,-37.5,11.4,Prairie View A&M,DOG,37.5,False,True,,2026-09-12,,,,
Texas Tech,Oregon State,FBS,19:30,36.1,25.5,10.6,Texas Tech,FAV,25.5,False,True,BLIND-SPOT,2026-09-12,,,,
Towson,South Carolina,FCS,19:00,-33.5,-44.0,10.5,Towson,DOG,44.0,False,True,,2026-09-12,,,,
Charlotte,Ole Miss,FBS,19:45,-35.3,-45.5,10.2,Charlotte,DOG,45.5,False,True,BLIND-SPOT,2026-09-12,,,,
Lindenwood,Missouri State,FCS,19:00,-26.6,-16.75,-9.9,Missouri State,FAV,16.75,False,True,,2026-09-12,,,,
Southeast Missouri State,Southern Illinois,fcs-only,19:00,-16.6,-7.5,-9.1,Southern Illinois,FAV,7.5,False,True,,2026-09-12,,,,
