away,home,cls,kick,model,market,edge,side,dir,spread_size,neutral,playable,flag
Old Dominion,Virginia Tech,FBS,12:00,11.9,-19.5,31.4,Old Dominion,DOG,19.5,False,False,INFO-GAP
Sacred Heart,Massachusetts,FCS,15:30,-5.0,-23.5,18.5,Sacred Heart,DOG,23.5,False,True,BLIND-SPOT
Western Kentucky,Georgia,FBS,12:45,-22.4,-39.75,17.4,Western Kentucky,DOG,39.75,False,True,
Duquesne,Youngstown State,fcs-only,14:00,-6.2,-22.5,16.3,Duquesne,DOG,22.5,False,True,
South Florida,Army,FBS,12:00,12.6,-3.5,16.1,South Florida,DOG,3.5,False,False,NY-RESTRICTED
Maryland,UConn,FBS,15:30,-4.6,11.5,-16.1,UConn,DOG,11.5,False,True,
UT Martin,West Virginia,FCS,13:00,-25.9,-41.5,15.6,UT Martin,DOG,41.5,False,True,
East Tennessee State,North Carolina,FCS,12:00,-20.5,-36.0,15.5,East Tennessee State,DOG,36.0,False,True,
Howard,Indiana,FCS,12:00,-72.0,-57.25,-14.8,Indiana,FAV,57.25,False,True,
Utah State,Washington,FBS,15:30,-13.0,-27.5,14.5,Utah State,DOG,27.5,False,True,
UAlbany,Long Island University,fcs-only,12:00,-10.3,4.0,-14.3,Long Island University,DOG,4.0,False,False,BLIND-SPOT NY-RESTRICTED
Drake,Northern Iowa,fcs-only,14:00,1.5,-11.5,13.0,Drake,DOG,11.5,False,True,
Washington State,Kansas State,FBS,12:00,-5.2,-17.5,12.3,Washington State,DOG,17.5,False,True,
Oregon,Oklahoma State,FBS,12:00,35.2,23.5,11.7,Oregon,FAV,23.5,False,True,BLIND-SPOT
UNLV,North Texas,FBS,15:45,-8.6,3.0,-11.6,North Texas,DOG,3.0,False,True,
Stetson,Bethune-Cookman,fcs-only,16:00,-25.6,-14.5,-11.1,Bethune-Cookman,FAV,14.5,False,True,BLIND-SPOT
Utah Tech,Montana,fcs-only,15:00,-28.1,-38.5,10.4,Utah Tech,DOG,38.5,False,True,
App State,East Carolina,FBS,12:00,-15.6,-6.5,-9.1,East Carolina,FAV,6.5,False,True,BLIND-SPOT
Northern Colorado,Wyoming,FCS,16:00,-31.2,-22.5,-8.7,Wyoming,FAV,22.5,False,True,
Morehead State,Austin Peay,fcs-only,17:00,-27.2,-35.5,8.3,Morehead State,DOG,35.5,False,True,BLIND-SPOT
Wagner,James Madison,FCS,12:00,-54.7,-46.5,-8.2,James Madison,FAV,46.5,False,False,NY-RESTRICTED
Eastern Michigan,Michigan State,FBS,15:30,-9.4,-17.25,7.8,Eastern Michigan,DOG,17.25,False,True,
California,Syracuse,FBS,15:30,4.0,-3.5,7.5,California,DOG,3.5,False,False,BLIND-SPOT NY-RESTRICTED
Colgate,Central Michigan,FCS,13:00,-26.2,-18.75,-7.4,Central Michigan,FAV,18.75,False,False,NY-RESTRICTED
Delaware,Vanderbilt,FBS,16:15,-28.1,-21.0,-7.1,Vanderbilt,FAV,21.0,False,True,BLIND-SPOT
Penn State,Temple,FBS,12:00,17.8,24.25,-6.4,Temple,DOG,24.25,False,True,
Rice,Notre Dame,FBS,15:30,-39.5,-45.25,5.7,Rice,DOG,45.25,False,True,BLIND-SPOT
Oklahoma,Michigan,FBS,12:00,0.1,5.0,-4.9,Michigan,DOG,5.0,False,True,
Alabama State,Troy,FCS,16:00,-18.2,-23.0,4.8,Alabama State,DOG,23.0,False,True,
UCF,Pittsburgh,FBS,15:30,-11.7,-7.0,-4.7,Pittsburgh,FAV,7.0,False,True,
Lamar,Idaho,fcs-only,16:00,2.0,-2.5,4.5,Lamar,DOG,2.5,False,True,
William & Mary,Lehigh,fcs-only,14:00,-16.9,-12.5,-4.4,Lehigh,FAV,12.5,False,True,
Alabama,Kentucky,FBS,15:30,14.4,10.0,4.4,Alabama,FAV,10.0,False,True,
Weber State,Colorado,FCS,15:30,-33.6,-37.75,4.1,Weber State,DOG,37.75,False,True,
Wofford,Kent State,FCS,12:00,-14.5,-10.5,-4.0,Kent State,FAV,10.5,False,False,BLIND-SPOT
Arizona State,Texas A&M,FBS,12:00,-11.6,-15.5,3.9,Arizona State,DOG,15.5,False,False,
UC Davis,SMU,FCS,16:00,-35.2,-31.5,-3.7,SMU,FAV,31.5,False,False,
UL Monroe,UAB,FBS,15:30,-5.9,-9.5,3.6,UL Monroe,DOG,9.5,False,False,BLIND-SPOT
Central Connecticut,Toledo,FCS,15:30,-38.9,-35.25,-3.6,Toledo,FAV,35.25,False,False,
Eastern Washington,South Dakota,fcs-only,14:00,-13.2,-16.5,3.3,Eastern Washington,DOG,16.5,False,False,
Mercyhurst,New Mexico,FCS,16:00,-44.7,-41.5,-3.2,New Mexico,FAV,41.5,False,False,
