team,net
Indiana,30.135
Ohio State,27.162
Texas Tech,24.705
Oregon,23.279
Notre Dame,22.538
Utah,21.257
Miami,19.471
Georgia,17.236
Iowa,15.922
USC,15.536
Vanderbilt,15.508
Alabama,15.405
BYU,14.91
Ole Miss,14.178
Texas A&M,13.888
South Florida,13.369
Oklahoma,13.073
James Madison,13.061
Penn State,12.02
North Texas,11.626
Washington,11.351
Michigan,10.99
Arizona,10.46
Texas,9.872
SMU,9.304
Tennessee,9.263
Missouri,9.056
Kansas State,7.969
Illinois,7.675
Toledo,7.52
Florida State,7.302
Auburn,7.299
Virginia,7.116
Pittsburgh,6.959
Iowa State,6.309
Boise State,6.168
TCU,5.848
Memphis,5.814
Louisville,5.798
Clemson,5.337
San Diego State,5.307
Duke,5.236
Old Dominion,5.166
UNLV,5.071
LSU,4.882
Washington State,4.726
Arizona State,4.324
Tulane,3.917
South Carolina,3.838
Arkansas,3.745
East Carolina,3.741
Houston,3.492
Georgia Tech,3.143
New Mexico,2.649
Cincinnati,2.58
Kansas,2.433
Nebraska,2.291
NC State,2.169
Northwestern,2.081
UTSA,1.862
Wake Forest,1.698
Florida,1.592
Navy,1.341
Mississippi State,0.983
Texas State,0.886
Kennesaw State,0.427
Utah State,0.368
Baylor,0.295
Louisiana Tech,-0.202
Ohio,-0.476
Hawai'i,-0.937
Wisconsin,-0.967
Kentucky,-1.038
UConn,-1.086
Army,-1.257
Western Michigan,-1.348
Michigan State,-2.232
Rutgers,-2.393
Fresno State,-2.416
UCF,-2.763
Western Kentucky,-3.138
Marshall,-3.59
Maryland,-3.643
Minnesota,-3.701
Troy,-4.118
Colorado,-4.387
Air Force,-4.436
Miami (OH),-5.07
California,-5.101
Southern Miss,-5.148
Liberty,-5.373
Florida International,-5.737
Stanford,-5.914
West Virginia,-6.026
Missouri State,-6.091
Jacksonville State,-6.203
Purdue,-6.233
Central Michigan,-7.125
Temple,-7.817
UCLA,-8.081
Arkansas State,-8.267
Wyoming,-8.44
Louisiana,-8.601
Virginia Tech,-8.761
North Carolina,-9.477
Boston College,-9.604
Eastern Michigan,-9.68
Colorado State,-9.749
App State,-9.834
New Mexico State,-10.153
South Alabama,-10.334
Nevada,-10.392
Delaware,-10.616
Bowling Green,-11.04
Middle Tennessee,-11.052
Syracuse,-11.128
Buffalo,-11.397
Florida Atlantic,-11.561
Tulsa,-11.726
Georgia Southern,-11.806
Northern Illinois,-12.181
San José State,-13.169
Oregon State,-13.444
Coastal Carolina,-13.634
Oklahoma State,-13.884
Kent State,-14.416
UAB,-14.875
Rice,-14.963
UTEP,-14.996
Ball State,-16.356
Akron,-16.561
Georgia State,-17.382
UL Monroe,-18.74
Charlotte,-19.169
Sam Houston,-19.547
Massachusetts,-30.95
