team,net
Montana State,29.168
North Dakota State,28.439
Tarleton State,21.506
Villanova,18.7
Lehigh,18.459
Montana,18.395
North Dakota,16.92
SE Louisiana,16.307
Stephen F. Austin,16.022
Harvard,14.039
Yale,12.606
Southern Illinois,12.241
Alabama State,12.232
Tennessee Tech,12.185
Illinois State,12.095
Rhode Island,11.993
South Dakota State,11.852
Abilene Christian,11.68
Monmouth,11.354
Mercer,10.75
Youngstown State,10.687
South Dakota,10.573
Southern Utah,9.254
Prairie View A&M,8.754
UC Davis,8.714
Austin Peay,8.646
UT Rio Grande Valley,7.909
Sacramento State,7.869
Jackson State,7.534
Dartmouth,7.167
West Georgia,6.964
Lafayette,6.562
Duquesne,6.512
Idaho State,6.367
North Carolina Central,6.321
New Hampshire,5.885
Stony Brook,5.865
Wofford,5.713
Lamar,5.354
Western Carolina,5.333
South Carolina State,5.253
Towson,4.928
East Tennessee State,4.649
St. Thomas (MN),4.296
Incarnate Word,4.008
William & Mary,3.512
Maine,3.468
Cal Poly,3.433
Northern Arizona,3.346
Delaware State,3.298
Elon,3.297
Central Connecticut,3.256
Pennsylvania,3.029
UT Martin,2.662
Eastern Kentucky,2.592
Drake,2.442
Presbyterian,2.016
Lindenwood,1.904
Holy Cross,1.705
Gardner-Webb,1.681
Idaho,1.393
Colgate,1.309
Brown,1.202
Richmond,1.159
San Diego,0.73
Princeton,0.708
Nicholls,-0.125
Eastern Washington,-0.669
Chattanooga,-0.753
Dayton,-0.785
McNeese,-0.858
Long Island University,-0.992
Northern Iowa,-1.084
Sacred Heart,-1.366
Charleston Southern,-2.242
Southeast Missouri State,-2.352
Central Arkansas,-3.229
East Texas A&M,-3.326
Weber State,-3.417
Cornell,-3.777
Alcorn State,-4.01
Morgan State,-4.028
North Alabama,-4.146
Furman,-4.597
Campbell,-4.799
Grambling,-4.92
Bethune-Cookman,-4.94
Northern Colorado,-5.045
The Citadel,-5.269
Merrimack,-5.362
Texas Southern,-5.412
Eastern Illinois,-5.44
Indiana State,-5.558
Western Illinois,-6.393
Marist,-6.451
Columbia,-6.473
Wagner,-7.0
Howard,-7.308
Bryant,-7.328
Mercyhurst,-7.42
Bucknell,-7.431
Utah Tech,-7.702
Robert Morris,-7.754
Georgetown,-7.761
Butler,-8.049
Stonehill,-8.207
New Haven,-8.744
Murray State,-9.234
Fordham,-9.242
UAlbany,-9.313
Houston Christian,-11.13
Norfolk State,-11.144
Tennessee State,-11.733
Samford,-12.88
Florida A&M,-12.898
Portland State,-13.245
Alabama A&M,-13.428
Southern,-13.977
North Carolina A&T,-14.723
Saint Francis,-15.077
Arkansas-Pine Bluff,-16.241
Morehead State,-16.569
Hampton,-17.879
Northwestern State,-18.563
VMI,-19.408
Mississippi Valley State,-20.702
Valparaiso,-22.247
Davidson,-25.546
Stetson,-28.501
