player,pos,team,market,exp_opp,mu,fair,p25,p75,bucket
Amon-Ra St. Brown,WR,DET,receiving_yards,13.1,110.2,82.6,53.5,124.8,4
Puka Nacua,WR,LA,receiving_yards,11.5,109.5,82.1,53.2,124.1,4
Ja'Marr Chase,WR,CIN,receiving_yards,11.0,97.5,73.1,47.4,110.5,4
Jaxon Smith-Njigba,WR,SEA,receiving_yards,10.1,89.8,67.3,43.6,101.8,4
A.J. Brown,WR,NE,receiving_yards,8.2,79.8,66.4,36.2,102.6,3
Rashee Rice,WR,KC,receiving_yards,10.3,87.2,65.3,42.4,98.8,4
Justin Jefferson,WR,MIN,receiving_yards,7.7,74.5,62.0,33.8,95.8,3
Jameson Williams,WR,DET,receiving_yards,7.2,72.0,60.0,32.7,92.6,3
Chris Olave,WR,NO,receiving_yards,9.8,79.9,59.9,38.8,90.5,4
George Kittle,TE,SF,receiving_yards,7.0,69.9,58.2,31.7,89.9,3
Trey McBride,TE,ARI,receiving_yards,10.0,75.8,56.8,36.8,85.9,4
Courtland Sutton,WR,DEN,receiving_yards,8.2,67.4,56.1,30.6,86.7,3
Mike Evans,WR,SF,receiving_yards,7.2,66.7,55.6,30.2,85.8,3
Colston Loveland,TE,CHI,receiving_yards,7.9,66.4,55.3,30.1,85.3,3
Michael Wilson,WR,ARI,receiving_yards,7.7,63.5,52.9,28.8,81.7,3
Kyle Pitts,TE,ATL,receiving_yards,7.9,62.7,52.2,28.4,80.6,3
Parker Washington,WR,JAX,receiving_yards,7.7,62.6,52.1,28.4,80.5,3
Malik Nabers,WR,NYG,receiving_yards,8.4,61.3,51.1,27.8,78.9,3
DK Metcalf,WR,PIT,receiving_yards,7.0,60.7,50.5,27.5,78.0,3
Luther Burden III,WR,CHI,receiving_yards,6.3,60.6,50.5,27.5,78.0,3
Tee Higgins,WR,CIN,receiving_yards,6.8,59.9,49.9,27.2,77.1,3
CeeDee Lamb,WR,DAL,receiving_yards,6.8,59.7,49.7,27.1,76.8,3
Nico Collins,WR,HOU,receiving_yards,6.1,57.2,47.7,25.9,73.6,3
Jakobi Meyers,WR,JAX,receiving_yards,7.2,57.0,47.5,25.9,73.3,3
Harold Fannin Jr.,TE,CLE,receiving_yards,7.9,56.0,46.7,25.4,72.1,3
Rome Odunze,WR,CHI,receiving_yards,7.5,55.2,46.0,25.0,71.0,3
Davante Adams,WR,LA,receiving_yards,6.8,54.3,45.2,24.6,69.8,3
Bijan Robinson,RB,ATL,receiving_yards,7.9,53.4,44.5,24.2,68.7,3
Wan'Dale Robinson,WR,TEN,receiving_yards,9.1,59.0,44.3,28.7,66.9,4
Ryan Flournoy,WR,DAL,receiving_yards,6.5,52.7,43.9,23.9,67.8,3
Tucker Kraft,TE,GB,receiving_yards,5.8,55.6,43.7,18.7,76.3,2
Dallas Goedert,TE,PHI,receiving_yards,6.3,52.3,43.5,23.7,67.2,3
Drake London,WR,ATL,receiving_yards,6.5,52.0,43.3,23.6,66.9,3
George Pickens,WR,DAL,receiving_yards,5.6,54.6,42.8,18.4,74.8,2
Keenan Allen,WR,IND,receiving_yards,6.8,50.9,42.4,23.1,65.5,3
Travis Kelce,TE,KC,receiving_yards,6.0,50.8,42.3,23.0,65.3,3
Devaughn Vele,WR,NO,receiving_yards,6.3,50.7,42.2,23.0,65.2,3
Tyler Warren,TE,IND,receiving_yards,6.7,50.0,41.6,22.7,64.2,3
Mack Hollins,WR,NE,receiving_yards,6.5,49.8,41.5,22.6,64.0,3
Garrett Wilson,WR,NYJ,receiving_yards,7.0,48.8,40.6,22.1,62.8,3
Zay Flowers,WR,BAL,receiving_yards,5.6,50.4,39.5,17.0,69.1,2
Chig Okonkwo,TE,WAS,receiving_yards,6.3,46.8,38.9,21.2,60.1,3
Christian Watson,WR,GB,receiving_yards,5.1,49.4,38.8,16.6,67.8,2
Darius Slayton,WR,NYG,receiving_yards,5.8,49.3,38.7,16.6,67.6,2
Stefon Diggs,WR,WAS,receiving_yards,5.6,47.9,37.6,16.1,65.6,2
Tetairoa McMillan,WR,CAR,receiving_yards,5.8,47.7,37.4,16.0,65.4,2
Jaylen Waddle,WR,DEN,receiving_yards,5.1,47.0,36.9,15.8,64.4,2
Colby Parkinson,TE,LA,receiving_yards,6.0,44.1,36.7,20.0,56.7,3
Brian Thomas Jr.,WR,JAX,receiving_yards,5.4,46.7,36.7,15.7,64.0,2
Jahmyr Gibbs,RB,DET,receiving_yards,6.7,43.8,36.5,19.9,56.3,3
Pat Bryant,WR,DEN,receiving_yards,5.8,45.1,35.4,15.2,61.8,2
Sam LaPorta,TE,DET,receiving_yards,5.3,44.0,34.6,14.8,60.4,2
Marvin Harrison Jr.,WR,ARI,receiving_yards,5.6,44.1,34.6,14.8,60.4,2
Adonai Mitchell,WR,NYJ,receiving_yards,6.5,41.6,34.6,18.9,53.5,3
Khalil Shakir,WR,BUF,receiving_yards,4.9,42.8,33.6,14.4,58.6,2
Chris Godwin Jr.,WR,TB,receiving_yards,4.9,42.6,33.4,14.3,58.4,2
DeVonta Smith,WR,PHI,receiving_yards,4.7,41.8,32.8,14.1,57.3,2
Brock Bowers,TE,LV,receiving_yards,5.3,41.7,32.7,14.0,57.2,2
Juwan Johnson,TE,NO,receiving_yards,5.3,41.3,32.4,13.9,56.6,2
Jerry Jeudy,WR,CLE,receiving_yards,5.1,41.2,32.3,13.9,56.5,2
Josh Downs,WR,IND,receiving_yards,5.6,41.2,32.3,13.9,56.5,2
Terry McLaurin,WR,WAS,receiving_yards,4.7,41.0,32.2,13.8,56.2,2
Brenton Strange,TE,JAX,receiving_yards,5.1,40.7,32.0,13.7,55.9,2
Jalen Coker,WR,CAR,receiving_yards,4.4,40.5,31.8,13.6,55.6,2
Alec Pierce,WR,IND,receiving_yards,4.2,40.4,31.7,13.6,55.4,2
Jauan Jennings,WR,MIN,receiving_yards,5.1,40.1,31.4,13.5,54.9,2
Deebo Samuel Sr.,WR,SF,receiving_yards,4.4,39.7,31.2,13.4,54.5,2
Kenny Gainwell,RB,TB,receiving_yards,6.4,37.1,30.9,16.8,47.8,3
Jayden Reed,WR,GB,receiving_yards,4.2,39.3,30.8,13.2,53.9,2
DJ Moore,WR,BUF,receiving_yards,4.7,39.0,30.6,13.1,53.5,2
Darren Waller,TE,CAR,receiving_yards,4.6,38.6,30.3,13.0,53.0,2
Christian McCaffrey,RB,SF,receiving_yards,5.3,37.7,29.6,12.7,51.7,2
Dalton Schultz,TE,HOU,receiving_yards,5.3,37.6,29.5,12.7,51.6,2
Tre Tucker,WR,LV,receiving_yards,4.9,37.2,29.2,12.5,51.0,2
Cooper Kupp,WR,SEA,receiving_yards,4.2,36.1,28.3,12.1,49.4,2
Quentin Johnston,WR,LAC,receiving_yards,4.7,36.1,28.3,12.2,49.5,2
Isaiah Williams,WR,NYJ,receiving_yards,5.6,36.0,28.3,12.1,49.4,2
Keon Coleman,WR,BUF,receiving_yards,4.4,36.0,28.2,12.1,49.4,2
Pat Freiermuth,TE,PIT,receiving_yards,4.6,34.9,27.4,11.7,47.8,2
Theo Johnson,TE,NYG,receiving_yards,4.6,34.4,27.0,11.6,47.2,2
Elic Ayomanor,WR,TEN,receiving_yards,5.4,34.3,26.9,11.5,47.0,2
Hunter Henry,TE,NE,receiving_yards,4.4,33.9,26.6,11.4,46.5,2
Darnell Mooney,WR,NYG,receiving_yards,4.4,33.2,26.1,11.2,45.5,2
Mason Taylor,TE,NYJ,receiving_yards,5.1,32.9,25.8,11.1,45.1,2
AJ Barner,TE,SEA,receiving_yards,4.4,32.3,25.3,10.9,44.2,2
Tre Harris,WR,LAC,receiving_yards,4.2,32.0,25.1,10.8,43.8,2
Cade Otton,TE,TB,receiving_yards,4.6,31.6,24.8,10.6,43.4,2
Emeka Egbuka,WR,TB,receiving_yards,4.2,31.3,24.6,10.5,42.9,2
Michael Pittman,WR,PIT,receiving_yards,4.2,31.1,24.4,10.5,42.7,2
Ladd McConkey,WR,LAC,receiving_yards,4.0,34.4,23.5,7.3,49.7,1
Chimere Dike,WR,TEN,receiving_yards,4.7,29.9,23.5,10.1,41.0,2
Michael Mayer,TE,LV,receiving_yards,4.4,29.7,23.3,10.0,40.8,2
Marvin Mims Jr.,WR,DEN,receiving_yards,4.0,33.9,23.2,7.2,49.0,1
Cam Skattebo,RB,NYG,receiving_yards,4.1,29.3,23.0,9.9,40.2,2
Chase Brown,RB,CIN,receiving_yards,4.8,29.1,22.8,9.8,39.9,2
Calvin Ridley,WR,TEN,receiving_yards,3.7,31.3,21.4,6.6,45.1,1
Jalen McMillan,WR,TB,receiving_yards,3.7,31.2,21.3,6.6,45.0,1
John Metchie III,WR,CAR,receiving_yards,4.2,26.9,21.1,9.0,36.9,2
Oronde Gadsden II,TE,LAC,receiving_yards,3.4,30.8,21.0,6.5,44.4,1
Kayshon Boutte,WR,HOU,receiving_yards,3.2,29.6,20.2,6.3,42.7,1
Tyrone Tracy Jr.,RB,NYG,receiving_yards,4.1,25.6,20.1,8.6,35.0,2
Greg Dulcich,TE,MIA,receiving_yards,3.7,28.3,19.4,6.0,40.9,1
Lil'Jordan Humphrey,WR,DEN,receiving_yards,3.5,27.4,18.7,5.8,39.5,1
Elijah Higgins,TE,ARI,receiving_yards,3.4,27.2,18.6,5.8,39.2,1
Mark Andrews,TE,BAL,receiving_yards,3.2,27.1,18.5,5.8,39.1,1
Jahan Dotson,WR,ATL,receiving_yards,3.7,26.9,18.4,5.7,38.8,1
Jack Bech,WR,LV,receiving_yards,3.5,26.9,18.4,5.7,38.8,1
Tyler Higbee,TE,LA,receiving_yards,3.7,26.7,18.3,5.7,38.6,1
Olamide Zaccheaus,WR,ATL,receiving_yards,3.5,26.8,18.3,5.7,38.7,1
Kalif Raymond,WR,CHI,receiving_yards,2.8,26.6,18.2,5.6,38.3,1
Isaac TeSlaa,WR,DET,receiving_yards,3.2,26.6,18.2,5.6,38.3,1
Romeo Doubs,WR,NE,receiving_yards,3.5,26.4,18.1,5.6,38.1,1
Xavier Hutchinson,WR,HOU,receiving_yards,4.0,26.3,18.0,5.6,37.9,1
T.J. Hockenson,TE,MIN,receiving_yards,3.7,26.2,17.9,5.6,37.8,1
RJ Harvey,RB,DEN,receiving_yards,3.9,26.2,17.9,5.6,37.7,1
Troy Franklin,WR,DEN,receiving_yards,4.0,25.7,17.6,5.5,37.1,1
Dalton Kincaid,TE,BUF,receiving_yards,3.2,25.2,17.2,5.4,36.4,1
Evan Engram,TE,DEN,receiving_yards,3.7,24.9,17.0,5.3,35.9,1
Dawson Knox,TE,BUF,receiving_yards,3.2,24.9,17.0,5.3,35.9,1
Jalen Nailor,WR,LV,receiving_yards,2.8,24.8,17.0,5.3,35.8,1
Marquise Brown,WR,PHI,receiving_yards,3.5,24.7,16.9,5.2,35.6,1
Xavier Worthy,WR,KC,receiving_yards,3.5,24.4,16.7,5.2,35.2,1
Quinshon Judkins,RB,CLE,receiving_yards,3.9,24.4,16.7,5.2,35.1,1
Treylon Burks,WR,WAS,receiving_yards,3.2,24.0,16.4,5.1,34.6,1
Xavier Smith,WR,LA,receiving_yards,2.5,23.8,16.3,5.1,34.3,1
Audric Estimé,RB,NO,receiving_yards,3.1,23.8,16.3,5.1,34.4,1
Cole Kmet,TE,CHI,receiving_yards,3.2,23.8,16.2,5.0,34.3,1
Konata Mumpfield,WR,LA,receiving_yards,3.7,23.7,16.2,5.0,34.2,1
Daniel Bellinger,TE,TEN,receiving_yards,2.7,23.3,16.0,5.0,33.7,1
Tyjae Spears,RB,TEN,receiving_yards,3.9,23.4,16.0,5.0,33.7,1
Jonathan Taylor,RB,IND,receiving_yards,3.6,23.1,15.8,4.9,33.3,1
Rashid Shaheed,WR,SEA,receiving_yards,2.5,23.0,15.7,4.9,33.2,1
Tory Horton,WR,SEA,receiving_yards,3.0,22.9,15.6,4.8,33.0,1
Terrance Ferguson,TE,LA,receiving_yards,2.7,22.8,15.6,4.8,32.9,1
Brock Wright,TE,DET,receiving_yards,3.2,22.7,15.5,4.8,32.8,1
Bam Knight,RB,ARI,receiving_yards,3.4,22.7,15.5,4.8,32.8,1
Kendrick Bourne,WR,ARI,receiving_yards,2.5,22.4,15.3,4.8,32.4,1
Dontayvion Wicks,WR,PHI,receiving_yards,3.0,22.4,15.3,4.8,32.3,1
Matthew Golden,WR,GB,receiving_yards,2.8,22.2,15.1,4.7,32.0,1
Isaiah Likely,TE,NYG,receiving_yards,2.7,22.0,15.0,4.7,31.7,1
