player,team,market,line,p_model,p_book,edge,fair,p25,p75,game,verdict,abs_edge
Emeka Egbuka,TB,receptions,4.5,0.07096296296296296,0.4681518987341772,-0.3971889357712142,1.9,1.1,3.0,Tam@Cin,BET UNDER,0.3971889357712142
Chuba Hubbard,CAR,rushing_yards,53.5,0.11598746081504702,0.5,-0.384012539184953,16.5,4.8,34.7,Chi@Car,BET UNDER,0.384012539184953
Emeka Egbuka,TB,receiving_yards,58.5,0.12666666666666668,0.5,-0.3733333333333333,24.6,10.5,42.9,Tam@Cin,BET UNDER,0.3733333333333333
Emeka Egbuka,TB,receiving_yards,57.5,0.13140740740740742,0.5,-0.3685925925925926,24.6,10.5,42.9,Tam@Cin,BET UNDER,0.3685925925925926
Chuba Hubbard,CAR,rushing_yards,51.5,0.13166144200626959,0.4949766918501849,-0.3633152498439153,16.5,4.8,34.7,Chi@Car,BET UNDER,0.3633152498439153
Chuba Hubbard,CAR,rushing_yards,50.5,0.13793103448275862,0.5,-0.3620689655172414,16.5,4.8,34.7,Chi@Car,BET UNDER,0.3620689655172414
Emeka Egbuka,TB,receiving_yards,55.5,0.14592592592592593,0.5050233081498151,-0.3590973822238892,24.6,10.5,42.9,Tam@Cin,BET UNDER,0.3590973822238892
David Montgomery,HOU,rushing_yards,55.5,0.14817190506735087,0.5015460431890295,-0.3533741381216786,22.1,8.7,42.4,Buf@Hou,BET UNDER,0.3533741381216786
David Montgomery,HOU,rushing_yards,54.5,0.15330339961513792,0.4974859611392735,-0.3441825615241356,22.1,8.7,42.4,Buf@Hou,BET UNDER,0.3441825615241356
Matthew Golden,GB,receptions,3.5,0.131720801658604,0.4746508627435356,-0.34293006108493157,1.6,0.8,2.7,Gre@Min,BET UNDER,0.34293006108493157
Ladd McConkey,LAC,receptions,4.5,0.193503800967519,0.5347326091753917,-0.34122880820787266,2.4,1.2,3.9,Ari@Los,BET UNDER,0.34122880820787266
RJ Harvey,DEN,rushing_yards,17.5,0.8452436194895592,0.5090470446320868,0.33619657485747234,43.2,25.3,65.7,Den@Kan,BET OVER,0.33619657485747234
RJ Harvey,DEN,rushing_yards,18.5,0.8361948955916473,0.5015460431890295,0.33464885240261777,43.2,25.3,65.7,Den@Kan,BET OVER,0.33464885240261777
Ryan Flournoy,DAL,receptions,2.5,0.75920125293657,0.4254472721646978,0.33375398077187224,4.1,2.6,5.8,Dal@New,BET OVER,0.33375398077187224
Matthew Golden,GB,receiving_yards,40.5,0.1669661368348307,0.5,-0.3330338631651693,15.1,4.7,32.0,Gre@Min,BET UNDER,0.3330338631651693
Matthew Golden,GB,receiving_yards,39.5,0.1762266758811334,0.5041604710933423,-0.3279337952122089,15.1,4.7,32.0,Gre@Min,BET UNDER,0.3279337952122089
DeVonta Smith,PHI,receptions,5.5,0.1365925925925926,0.4620142214299288,-0.3254216288373362,2.9,1.6,4.4,Was@Phi,BET UNDER,0.3254216288373362
Aaron Jones,MIN,rushing_yards,29.5,0.8180974477958237,0.5,0.3180974477958237,63.4,37.2,96.3,Gre@Min,BET OVER,0.3180974477958237
Aaron Jones,MIN,rushing_yards,28.5,0.8245939675174014,0.5092803335262656,0.3153136339911359,63.4,37.2,96.3,Gre@Min,BET OVER,0.3153136339911359
Jalen Nailor,LV,receptions,3.5,0.11472011057360056,0.4282584157758449,-0.31353830520224435,1.5,0.8,2.5,Mia@Las,BET UNDER,0.31353830520224435
Matthew Golden,GB,receiving_yards,37.5,0.19198341395991708,0.5050233081498151,-0.313039894189898,15.1,4.7,32.0,Gre@Min,BET UNDER,0.313039894189898
DeVonta Smith,PHI,receiving_yards,66.5,0.18681481481481482,0.4989772959705462,-0.31216248115573136,32.8,14.1,57.3,Was@Phi,BET UNDER,0.31216248115573136
Aaron Jones,MIN,rushing_yards,30.5,0.8118329466357309,0.5,0.3118329466357309,63.4,37.2,96.3,Gre@Min,BET OVER,0.3118329466357309
Isaiah Likely,NYG,receiving_yards,37.5,0.1888044229440221,0.5,-0.3111955770559779,15.0,4.7,31.7,Dal@New,BET UNDER,0.3111955770559779
Ladd McConkey,LAC,receiving_yards,58.5,0.1899101589495508,0.5010464130421027,-0.31113625409255197,23.5,7.3,49.7,Ari@Los,BET UNDER,0.31113625409255197
Tank Bigsby,PHI,rushing_yards,17.5,0.8092807424593967,0.5010365701965337,0.30824417226286305,35.8,21.0,54.3,Was@Phi,BET OVER,0.30824417226286305
Michael Mayer,LV,receptions,4.5,0.2034074074074074,0.5045866018376607,-0.3011791944302533,2.6,1.5,4.1,Mia@Las,BET UNDER,0.3011791944302533
Javonte Williams,DAL,rushing_yards,76.5,0.2,0.5,-0.3,46.1,27.0,70.0,Dal@New,BET UNDER,0.3
