player_id,player_display_name,position_group,c,t,rtd,ctd,r_rush,r_rec,g,team25,mc,mt,e_car,e_tar,team26,team,moved,opp,site,implied,game,team_td,lam_raw,lam,p_td,fair
00-0032764,Derrick Henry,RB,2376,213,112,4,0.04674319893331746,0.020890283712006952,4,BAL,21.25,0.25,20.378861133494496,0.3235629868385711,BAL,BAL,False,IND,A,25.75,BAL@IND,2.853575,0.9593324825911467,1.24575061204599,0.7122751426880884,-247.554260463474
00-0039139,Jahmyr Gibbs,RB,675,228,39,10,0.0555752244890991,0.04171953788410614,4,DET,14.0,7.0,13.555331721729788,6.6765041633091595,DET,DET,False,NO,H,28.5,NO@DET,3.22785,1.031881271833908,0.895275095957105,0.5915047921977385,-144.80091342566394
00-0036900,Ja'Marr Chase,WR,21,767,0,54,0.027927872621148386,0.06912604263874263,4,CIN,0.0,11.5,0.006336158917715558,11.011323743471188,CIN,CIN,False,TB,H,27.25,TB@CIN,3.0577249999999996,0.7613461900393497,0.8153598148462611,0.5575199121900771,-125.99887035585027
00-0036223,Jonathan Taylor,RB,1551,239,69,7,0.0439926991587936,0.029540793964506505,4,IND,19.0,3.75,18.261214074670963,3.6176806338973946,IND,IND,False,BAL,H,22.25,BAL@IND,2.377225,0.9102292552966754,0.7456730530047834,0.5255851139038543,-110.78596589343498
00-0039040,De'Von Achane,RB,544,209,22,13,0.03953913725890836,0.056650582395855666,4,MIA,13.0,3.25,12.614155251141554,3.147092398603277,MIA,MIA,False,LV,A,18.75,MIA@LV,1.9008749999999999,0.6770374331145116,0.7061766812504603,0.5064724921068855,-102.62295090075801
00-0040122,Ashton Jeanty,RB,266,73,5,5,0.021227884109946242,0.054146433126672514,4,LV,18.75,3.75,18.025919957023905,3.6176806338973946,LV,LV,False,MIA,H,22.25,MIA@LV,2.377225,0.5785366423398541,0.7055871742387811,0.5061814684086987,-102.50353845117124
00-0033280,Christian McCaffrey,RB,1541,665,60,31,0.03865303515611491,0.045618852521221866,4,SF,18.5,5.5,17.790625839376847,5.264739457426806,SF,SF,False,LA,A,22.5,SF@LA,2.41125,0.9278330588897307,0.6975581517702519,0.5022006285824189,-100.88414277268055
00-0038542,Bijan Robinson,RB,805,261,25,9,0.031097638363510084,0.03395271421869457,4,ATL,18.0,8.25,17.320037604082728,7.852974751544453,ATL,ATL,False,PIT,A,19.0,ATL@PIT,1.9349,0.8052420733599732,0.6867648551754474,0.4967986320889658,101.28879900396382
00-0038597,Chase Brown,RB,505,168,13,10,0.02638831434618198,0.05347083343273711,4,CIN,15.0,5.0,14.496508192318023,4.794151222132689,CIN,CIN,False,TB,H,27.25,TB@CIN,3.0577249999999996,0.6388856765509003,0.6842113531999771,0.495512064474548,101.81143340282183
00-0040666,Omarion Hampton,RB,124,35,4,1,0.032051326863029535,0.0298697673713674,4,LAC,14.5,3.25,14.025919957023905,3.147092398603277,LAC,LAC,False,ARI,H,28.25,ARI@LAC,3.1938250000000004,0.5435522629397409,0.6710236269460402,0.48881495290642407,104.57639318399376
